bowler,overs,maidens,runs,wickets,er,sr,avg,wides,noballs,team_id,dots,c1,c2,c3,c4,c6,inn_id,m_id,t_id
13,4,0,29,1,7.25,24,29,1,0,37,7,14,0,0,2,1,269,135,6
52,4,0,34,2,8.5,12,17,0,1,37,9,10,1,1,3,1,269,135,6
268,4,0,29,0,7.25,-1,-1,0,0,37,6,15,0,0,2,1,269,135,6
54,3,0,26,2,8.67,9,13,0,0,42,9,4,0,0,4,1,270,135,6
12,3.4,0,52,1,14.18,22,52,0,0,42,5,8,0,0,5,4,270,135,6
11,3,0,30,0,10,-1,-1,0,0,42,3,10,1,0,3,1,270,135,6
9,4,0,36,0,9,-1,-1,1,0,42,5,15,0,0,2,2,270,135,6
271,4,0,27,2,6.75,12,13.5,0,0,42,10,11,0,0,1,2,270,135,6
267,4,0,32,1,8,24,32,0,0,35,7,12,1,0,3,1,271,136,6
304,4,0,31,2,7.75,12,15.5,0,0,35,13,7,0,0,0,4,271,136,6
78,4,0,33,1,8.25,24,33,0,0,35,10,9,0,0,3,2,271,136,6
188,4,0,27,1,6.75,24,27,0,0,35,7,13,1,0,3,0,271,136,6
35,4,0,40,0,10,-1,-1,0,0,35,6,12,0,0,4,2,271,136,6
169,3,0,24,0,8,-1,-1,0,0,32,6,8,1,0,2,1,272,136,6
50,4,0,25,1,6.25,24,25,0,0,32,6,15,1,0,2,0,272,136,6
10,4,0,38,0,9.5,-1,-1,0,0,32,6,12,0,2,2,2,272,136,6
318,2,0,21,0,10.5,-1,-1,1,1,32,3,7,1,0,1,1,272,136,6
92,2,0,19,0,9.5,-1,-1,0,0,32,2,7,1,0,1,1,272,136,6
281,4,0,37,2,9.25,12,18.5,0,0,32,7,11,0,0,5,1,272,136,6
163,4,0,42,0,10.5,-1,-1,0,1,39,5,13,0,0,7,0,273,137,6
295,4,0,38,2,9.5,12,19,2,0,39,9,8,2,0,3,2,273,137,6
112,3,0,35,0,11.67,-1,-1,1,0,39,4,8,0,0,5,1,273,137,6
265,1,0,11,0,11,-1,-1,0,0,39,1,3,0,0,2,0,273,137,6
203,4,0,44,1,11,24,44,0,0,39,8,8,0,0,6,2,273,137,6
14,4,0,25,1,6.25,24,25,0,0,39,9,13,0,0,0,2,273,137,6
162,4,0,34,2,8.5,12,17,0,0,36,7,12,0,0,4,1,274,137,6
53,4,0,39,1,9.75,24,39,0,0,36,7,11,1,0,2,3,274,137,6
87,2,0,12,2,6,6,6,0,0,36,5,6,0,0,0,1,274,137,6
236,4,0,26,0,6.5,-1,-1,1,1,36,5,18,1,0,1,0,274,137,6
301,2,0,21,0,10.5,-1,-1,0,0,36,2,7,0,0,2,1,274,137,6
316,4,1,38,3,9.5,8,12.67,0,0,36,14,4,0,0,1,5,274,137,6
306,4,0,29,1,7.25,24,29,0,0,40,6,15,0,0,2,1,275,138,6
270,4,0,31,1,7.75,24,31,0,0,40,9,10,1,1,1,2,275,138,6
6,4,0,32,0,8,-1,-1,0,0,40,8,12,0,0,2,2,275,138,6
32,1,0,13,0,13,-1,-1,0,0,40,1,3,0,0,1,1,275,138,6
23,4,0,42,1,10.5,24,42,0,0,40,5,12,1,0,4,2,275,138,6
225,3,0,32,0,10.67,-1,-1,0,0,40,4,10,0,0,1,3,275,138,6
257,4,0,30,2,7.5,12,15,0,0,34,11,8,0,0,4,1,276,138,6
26,3,0,38,0,12.67,-1,-1,0,0,34,4,8,0,0,3,3,276,138,6
91,3,0,39,0,13,-1,-1,0,1,34,4,8,1,0,4,2,276,138,6
235,3,0,27,1,9,18,27,1,0,34,5,10,0,0,1,2,276,138,6
234,4,0,36,2,9,12,18,0,1,34,6,13,2,0,3,1,276,138,6
61,2,0,15,0,7.5,-1,-1,0,0,34,3,7,0,0,2,0,276,138,6
313,4,0,56,0,14,-1,-1,0,0,41,5,8,1,0,7,3,277,139,6
62,1,0,14,0,14,-1,-1,0,0,41,3,0,0,0,2,1,277,139,6
229,4,0,21,1,5.25,24,21,0,0,41,11,11,0,0,1,1,277,139,6
230,4,0,34,4,8.5,6,8.5,0,0,41,11,6,2,0,3,2,277,139,6
303,3,0,28,0,9.33,-1,-1,0,1,41,6,9,0,0,3,1,277,139,6
135,4,0,34,0,8.5,-1,-1,0,0,41,6,14,0,0,2,2,277,139,6
53,4,0,35,1,8.75,24,35,0,0,36,9,9,0,0,5,1,278,139,6
87,3,0,35,0,11.67,-1,-1,0,0,36,6,5,0,0,6,1,278,139,6
94,2.4,0,18,2,6.75,8,9,0,0,36,4,10,1,0,0,1,278,139,6
162,3,0,39,1,13,18,39,0,0,36,5,5,1,0,5,2,278,139,6
316,4,0,33,1,8.25,24,33,0,1,36,7,14,1,0,1,2,278,139,6
301,2,0,18,0,9,-1,-1,0,0,36,3,6,0,0,3,0,278,139,6
236,1,0,11,0,11,-1,-1,0,1,36,0,6,0,0,1,0,278,139,6
141,4,0,29,1,7.25,24,29,1,1,38,7,15,0,0,3,0,279,140,6
280,4,0,38,1,9.5,24,38,1,0,38,8,11,0,0,2,3,279,140,6
125,4,0,19,2,4.75,12,9.5,0,0,38,11,11,0,0,2,0,279,140,6
269,4,0,32,0,8,-1,-1,0,1,38,9,11,0,0,5,0,279,140,6
33,4,0,26,1,6.5,24,26,0,0,38,9,12,0,0,2,1,279,140,6
268,4,0,28,2,7,12,14,0,0,37,5,16,0,0,3,0,280,140,6
278,2,0,10,0,5,-1,-1,0,0,37,2,10,0,0,0,0,280,140,6
52,4,0,29,1,7.25,24,29,0,0,37,9,11,1,0,1,2,280,140,6
282,2,0,18,0,9,-1,-1,0,0,37,5,4,0,0,2,1,280,140,6
315,4,0,29,3,7.25,8,9.67,0,0,37,12,7,1,0,2,2,280,140,6
13,4,0,29,1,7.25,24,29,0,1,37,9,12,0,0,4,0,280,140,6
35,4,0,53,2,13.25,12,26.5,0,0,35,10,5,0,0,3,6,281,141,6
188,4,0,27,1,6.75,24,27,0,0,35,8,11,2,0,3,0,281,141,6
78,4,0,36,1,9,24,36,0,0,35,8,10,0,0,5,1,281,141,6
267,4,0,27,1,6.75,24,27,0,0,35,8,13,0,0,2,1,281,141,6
304,4,0,44,1,11,24,44,0,1,35,8,11,0,0,2,4,281,141,6
113,2,0,12,0,6,-1,-1,0,0,31,1,10,1,0,0,0,282,141,6
36,4,0,51,2,12.75,12,25.5,0,0,31,10,5,0,0,4,5,282,141,6
198,4,0,38,0,9.5,-1,-1,0,0,31,8,9,1,1,3,2,282,141,6
177,4,0,23,1,5.75,24,23,0,0,31,7,15,0,0,2,0,282,141,6
286,2,0,18,0,9,-1,-1,0,0,31,2,8,0,0,1,1,282,141,6
93,4,0,34,0,8.5,-1,-1,0,0,31,7,12,1,0,2,2,282,141,6
23,2,0,34,0,17,-1,-1,0,1,40,3,3,0,0,6,1,283,142,6
6,4,1,24,1,6,24,24,0,0,40,12,8,1,0,2,1,283,142,6
72,1,0,8,0,8,-1,-1,0,0,40,1,4,0,0,1,0,283,142,6
306,4,0,23,2,5.75,12,11.5,0,0,40,11,9,1,0,3,0,283,142,6
226,4,0,25,2,6.25,12,12.5,0,0,40,7,15,0,0,1,1,283,142,6
270,4,0,39,0,9.75,-1,-1,1,0,40,6,12,0,0,5,1,283,142,6
32,1,0,16,0,16,-1,-1,0,0,40,1,2,0,0,2,1,283,142,6
98,2,0,22,0,11,-1,-1,1,0,33,2,7,0,0,2,1,284,142,6
132,4,0,33,1,8.25,24,33,0,0,33,8,9,1,0,4,1,284,142,6
39,4,0,23,1,5.75,24,23,0,0,33,7,15,0,0,2,0,284,142,6
164,4,0,32,2,8,12,16,0,1,33,9,11,0,0,5,0,284,142,6
89,4,0,28,0,7,-1,-1,0,0,33,9,10,1,0,4,0,284,142,6
283,2,0,15,1,7.5,12,15,0,0,33,5,5,0,0,1,1,284,142,6
54,4,0,39,2,9.75,12,19.5,0,0,42,10,7,1,0,3,3,285,143,6
231,1,0,7,0,7,-1,-1,0,0,42,2,3,0,0,1,0,285,143,6
9,4,0,28,5,7,4.8,5.6,0,0,42,12,8,0,0,2,2,285,143,6
12,4,0,33,0,8.25,-1,-1,0,0,42,9,10,0,1,2,2,285,143,6
11,3,0,15,1,5,18,15,0,0,42,4,13,1,0,0,0,285,143,6
271,4,0,35,1,8.75,24,35,0,0,42,8,11,0,0,3,2,285,143,6
280,3.4,0,29,1,7.91,22,29,0,0,38,6,13,0,0,1,2,286,143,6
106,3,0,37,1,12.33,18,37,0,0,38,5,5,0,0,8,0,286,143,6
157,1,0,14,0,14,-1,-1,0,0,38,1,2,0,0,3,0,286,143,6
125,4,0,27,1,6.75,24,27,0,0,38,8,13,0,0,2,1,286,143,6
269,4,0,39,0,9.75,-1,-1,0,0,38,8,9,1,0,4,2,286,143,6
33,2,0,17,0,8.5,-1,-1,1,0,38,2,8,0,0,2,0,286,143,6
230,4,0,24,2,6,12,12,0,0,41,11,10,0,0,2,1,287,144,6
229,4,0,39,1,9.75,24,39,0,0,41,9,9,0,0,3,3,287,144,6
303,3,0,28,0,9.33,-1,-1,0,1,41,4,11,0,0,4,0,287,144,6
313,4,0,37,2,9.25,12,18.5,0,0,41,7,11,0,0,5,1,287,144,6
135,2,0,17,0,8.5,-1,-1,0,0,41,3,7,0,0,1,1,287,144,6
62,3,0,30,0,10,-1,-1,0,0,41,4,10,0,0,2,2,287,144,6
163,4,0,31,0,7.75,-1,-1,2,0,39,6,15,1,0,0,2,288,144,6
295,4,0,36,1,9,24,36,0,0,39,7,12,0,0,3,2,288,144,6
319,4,0,36,1,9,24,36,0,0,39,7,12,0,0,3,2,288,144,6
112,4,0,37,0,9.25,-1,-1,2,0,39,4,15,0,0,5,0,288,144,6
14,3.3,0,40,0,11.43,-1,-1,0,0,39,8,6,1,0,2,4,288,144,6
89,4,0,25,1,6.25,24,25,0,0,33,8,13,0,0,3,0,289,145,6
164,4,0,34,0,8.5,-1,-1,0,0,33,3,18,0,0,1,2,289,145,6
39,3,0,32,0,10.67,-1,-1,0,1,33,3,11,0,0,5,0,289,145,6
98,4,0,17,3,4.25,8,5.67,0,0,33,11,11,1,0,1,0,289,145,6
283,1,0,8,0,8,-1,-1,0,0,33,1,4,0,0,1,0,289,145,6
132,4,0,50,0,12.5,-1,-1,0,0,33,6,8,0,0,9,1,289,145,6
61,3,0,16,3,5.33,6,5.33,1,0,34,9,7,0,0,2,0,290,145,6
26,3,0,28,0,9.33,-1,-1,0,0,34,6,8,0,0,2,2,290,145,6
91,4,0,33,1,8.25,24,33,0,0,34,8,11,0,0,4,1,290,145,6
235,4,0,36,0,9,-1,-1,0,0,34,6,12,1,0,4,1,290,145,6
234,4,0,26,1,6.5,24,26,0,0,34,7,14,0,0,3,0,290,145,6
257,2,0,27,0,13.5,-1,-1,0,0,34,2,5,0,0,4,1,290,145,6
36,4,0,15,1,3.75,24,15,0,0,31,9,15,0,0,0,0,291,146,6
198,4,0,35,1,8.75,24,35,0,0,31,9,9,0,0,5,1,291,146,6
177,4,0,27,1,6.75,24,27,1,0,31,7,14,0,0,3,0,291,146,6
286,4,0,34,0,8.5,-1,-1,0,0,31,8,10,0,0,6,0,291,146,6
93,4,0,33,1,8.25,24,33,0,0,31,7,13,0,0,2,2,291,146,6
281,4,0,38,0,9.5,-1,-1,0,0,32,6,12,1,0,3,2,292,146,6
169,3.5,0,28,2,7.3,11.5,14,0,1,32,9,11,0,0,4,0,292,146,6
92,2,0,14,0,7,-1,-1,2,0,32,3,8,0,0,1,0,292,146,6
50,2,0,29,0,14.5,-1,-1,0,0,32,4,1,0,0,7,0,292,146,6
318,2,0,22,0,11,-1,-1,0,0,32,2,6,0,0,4,0,292,146,6
10,4,0,16,2,4,12,8,1,0,32,13,9,1,0,1,0,292,146,6
280,4,0,49,0,12.25,-1,-1,0,0,38,5,11,0,0,5,3,293,147,6
296,4,0,38,1,9.5,24,38,0,0,38,6,12,0,0,5,1,293,147,6
33,4,0,34,1,8.5,24,34,0,0,38,8,12,0,0,1,3,293,147,6
269,4,0,52,0,13,-1,-1,0,0,38,4,11,0,1,5,3,293,147,6
125,4,0,18,2,4.5,12,9,0,0,38,13,8,1,0,2,0,293,147,6
25,4,0,23,3,5.75,8,7.67,0,0,42,9,12,0,1,2,0,294,147,6
271,4,0,37,1,9.25,24,37,0,0,42,7,10,0,1,6,0,294,147,6
9,4,0,33,1,8.25,24,33,2,0,42,6,13,1,0,4,0,294,147,6
11,4,0,33,1,8.25,24,33,0,0,42,3,17,0,0,4,0,294,147,6
12,4,0,38,1,9.5,24,38,1,0,42,6,13,0,0,3,2,294,147,6
87,2,0,17,1,8.5,12,17,0,0,36,4,5,0,0,3,0,295,148,6
301,2,0,18,0,9,-1,-1,0,0,36,2,8,0,0,1,1,295,148,6
316,4,0,34,2,8.5,12,17,0,1,36,12,7,1,0,3,2,295,148,6
162,4,0,32,0,8,-1,-1,0,0,36,8,12,0,0,2,2,295,148,6
249,4,0,36,0,9,-1,-1,0,0,36,7,10,1,0,6,0,295,148,6
53,4,0,39,2,9.75,12,19.5,0,1,36,12,6,0,0,5,2,295,148,6
163,2,0,21,0,10.5,-1,-1,0,0,39,2,7,0,0,2,1,296,148,6
319,3,0,24,1,8,18,24,0,0,39,7,8,0,0,1,2,296,148,6
14,3,0,44,0,14.67,-1,-1,0,1,39,5,5,1,0,6,2,296,148,6
112,4,0,37,0,9.25,-1,-1,0,0,39,5,13,0,0,6,0,296,148,6
295,3,0,37,0,12.33,-1,-1,0,0,39,4,7,1,0,4,2,296,148,6
48,2.1,0,14,0,6.46,-1,-1,0,0,39,2,10,0,0,1,0,296,148,6
177,4,0,30,2,7.5,12,15,0,0,31,9,10,1,0,3,1,297,149,6
93,4,0,40,0,10,-1,-1,0,0,31,5,12,1,0,5,1,297,149,6
113,4,0,30,2,7.5,12,15,0,2,31,10,10,3,0,3,0,297,149,6
36,4,0,38,1,9.5,24,38,0,0,31,6,13,0,1,1,3,297,149,6
198,4,0,25,0,6.25,-1,-1,0,0,31,7,14,0,1,2,0,297,149,6
267,2,0,15,0,7.5,-1,-1,0,0,35,2,9,0,0,0,1,298,149,6
188,4,0,30,2,7.5,12,15,0,0,35,11,8,0,0,4,1,298,149,6
304,4,0,36,1,9,24,36,0,0,35,9,10,1,0,0,4,298,149,6
78,3.3,0,37,0,10.57,-1,-1,1,0,35,7,8,1,0,2,3,298,149,6
35,3,0,25,0,8.33,-1,-1,0,0,35,6,7,1,0,4,0,298,149,6
228,2,0,21,1,10.5,12,21,2,0,35,5,3,0,0,4,0,298,149,6
132,4,0,29,3,7.25,8,9.67,0,0,33,11,9,0,0,2,2,299,150,6
39,3,0,23,0,7.67,-1,-1,0,0,33,1,15,0,0,2,0,299,150,6
79,4,0,23,2,5.75,12,11.5,0,0,33,10,11,0,0,3,0,299,150,6
98,4,0,29,1,7.25,24,29,1,0,33,6,14,1,0,3,0,299,150,6
89,4,0,26,1,6.5,24,26,1,0,33,9,11,1,0,3,0,299,150,6
243,1,0,9,0,9,-1,-1,0,0,33,1,3,1,0,1,0,299,150,6
26,4,0,22,0,5.5,-1,-1,0,0,34,8,14,0,0,2,0,300,150,6
235,2,0,13,0,6.5,-1,-1,1,0,34,3,8,0,0,1,0,300,150,6
234,3,0,32,0,10.67,-1,-1,1,0,34,3,11,0,0,2,2,300,150,6
55,1,0,14,0,14,-1,-1,0,0,34,1,2,0,0,3,0,300,150,6
91,3,0,24,1,8,18,24,0,0,34,5,10,0,0,2,1,300,150,6
61,3.5,0,37,0,9.65,-1,-1,0,0,34,6,11,0,0,5,1,300,150,6
315,4,0,18,2,4.5,12,9,1,0,37,10,13,0,0,1,0,301,151,6
13,4,0,30,1,7.5,24,30,1,1,37,6,16,0,0,3,0,301,151,6
268,4,0,37,0,9.25,-1,-1,1,0,37,2,17,0,1,4,0,301,151,6
52,4,0,29,3,7.25,8,9.67,0,0,37,11,9,0,0,2,2,301,151,6
282,4,0,39,0,9.75,-1,-1,0,0,37,5,13,1,0,3,2,301,151,6
141,4,0,33,3,8.25,8,11,1,0,38,9,10,0,0,4,1,302,151,6
106,3,0,29,1,9.67,18,29,0,0,38,6,7,0,0,4,1,302,151,6
125,4,0,39,1,9.75,24,39,0,0,38,8,9,0,0,6,1,302,151,6
320,3,0,30,0,10,-1,-1,0,0,38,7,6,0,0,3,2,302,151,6
296,2,0,24,0,12,-1,-1,0,0,38,3,4,0,0,5,0,302,151,6
