id,bat_team_id,bow_team_id,inn_no,score,for,overs,m_id,t_id,c1,c2,c3,dots,c4,c6,wides,noballs,extras,ball_color
70,23,26,2,167,6,20,35,2,48,0,0,46,23,4,2,2,3,yy
71,21,25,1,161,4,20,36,2,53,1,0,42,19,5,0,0,0,yg
72,25,21,2,162,6,18.6,36,2,51,0,0,37,21,4,2,0,3,yg
73,22,28,1,152,8,20,37,2,58,2,0,39,16,4,1,0,2,yy
74,28,22,2,153,2,18.2,37,2,58,4,0,30,14,5,0,2,1,yy
75,26,24,1,170,4,20,38,2,52,2,0,43,20,5,0,6,4,yr
76,24,26,2,171,3,17.5,38,2,45,1,0,35,17,9,2,0,2,yr
77,27,23,1,157,6,20,39,2,55,3,0,42,19,3,0,4,2,yy
78,23,27,2,158,2,18.3,39,2,55,3,0,35,16,5,0,6,3,yy
79,24,28,1,198,1,20,40,2,59,2,0,29,26,5,0,2,1,yz
80,28,24,2,156,4,20,40,2,58,2,0,38,17,4,1,0,2,yz
81,23,25,1,155,3,20,41,2,59,2,0,38,15,5,1,0,2,yg
82,25,23,2,158,3,17.6,41,2,47,0,0,38,17,7,0,2,1,yg
83,27,22,1,115,10,18.4,42,2,41,0,0,55,11,5,0,0,0,yy
84,22,27,2,116,5,16.5,42,2,43,0,1,45,9,5,2,4,4,yy
85,21,24,1,177,5,20,43,2,45,3,1,45,18,8,3,0,3,yr
86,24,21,2,149,7,20,43,2,54,4,0,43,17,3,0,2,1,yr
87,25,27,1,168,5,20,44,2,57,0,0,39,18,6,1,2,3,yz
88,27,25,2,148,8,20,44,2,61,1,0,40,17,2,2,4,5,yz
89,21,26,1,201,2,20,45,2,49,3,0,39,19,11,1,4,4,yg
90,26,21,2,176,5,20,45,2,50,1,0,42,19,8,0,0,0,yg
91,22,25,1,161,7,20,46,2,51,1,0,44,17,6,3,0,4,yy
92,25,22,2,165,2,18.1,46,2,48,2,0,33,22,4,1,0,1,yy
93,21,24,1,138,4,20,47,2,52,3,1,49,11,5,2,2,3,yg
94,24,21,2,137,6,20,47,2,53,0,0,48,13,5,1,0,2,yg
95,21,22,1,191,3,20,48,2,50,1,0,37,30,3,0,2,1,yz
96,22,21,2,186,4,20,48,2,52,3,0,40,18,9,0,4,2,yz
97,21,25,1,170,5,20,49,2,55,2,1,40,19,5,0,4,2,yr
98,25,21,2,174,1,19.4,49,2,58,2,1,36,16,7,1,4,3,yr
99,41,40,1,199,6,20,50,3,54,2,0,34,20,10,1,0,1,yy
100,40,41,2,166,6,20,50,3,62,1,0,36,13,8,2,0,2,yy
101,39,42,1,176,5,20,51,3,52,4,0,42,13,10,3,2,4,yr
102,42,39,2,181,0,17.6,51,3,55,0,0,26,18,9,0,0,0,yr
103,35,34,1,224,0,20,52,3,51,5,0,32,26,9,2,6,5,yy
104,34,35,2,182,7,20,52,3,42,2,0,49,14,13,2,0,2,yy
105,32,31,1,203,6,20,53,3,44,0,0,46,14,17,0,2,1,yg
106,31,32,2,200,5,20,53,3,50,1,0,42,15,14,2,4,4,yg
107,37,38,1,215,2,20,54,3,51,4,0,35,16,15,1,2,2,yr
108,38,37,2,173,3,20,54,3,60,4,0,35,11,10,1,0,1,yr
109,33,36,1,210,5,20,55,3,52,1,0,37,19,13,0,4,2,yy
110,36,33,2,181,7,20,55,3,55,2,0,39,12,12,2,0,2,yy
111,39,40,1,167,7,20,56,3,50,2,1,45,12,10,2,0,2,yr
112,40,39,2,168,1,14.4,56,3,43,1,0,21,8,15,1,0,1,yr
113,38,41,1,157,5,20,57,3,66,3,0,33,12,6,1,0,1,yz
114,41,38,2,158,4,16.6,57,3,59,4,0,20,12,7,1,0,1,yz
115,42,37,1,167,7,20,58,3,55,2,0,39,18,6,0,0,0,yg
116,37,42,2,165,8,20,58,3,54,1,0,42,15,8,1,0,1,yg
117,31,35,1,215,2,20,59,3,60,3,0,28,13,16,1,0,1,yr
118,35,31,2,117,10,17.6,59,3,38,5,0,53,12,3,0,6,3,yr
119,33,32,1,183,6,20,60,3,45,0,0,46,18,11,0,0,0,yg
120,32,33,2,189,6,19.4,60,3,43,0,0,45,17,13,0,0,0,yg
121,34,36,1,178,4,20,61,3,54,2,0,41,13,11,1,2,2,yy
122,36,34,2,183,4,15.1,61,3,21,0,0,38,15,17,0,0,0,yy
123,37,39,1,156,3,20,62,3,55,2,0,41,18,4,1,0,1,yy
124,39,37,2,148,8,20,62,3,61,2,1,39,11,6,0,0,0,yy
125,38,40,1,148,7,20,63,3,49,1,0,48,15,6,0,0,1,yg
126,40,38,2,151,4,17.1,63,3,43,0,0,39,9,12,0,0,0,yg
127,33,34,1,130,6,20,64,3,55,1,0,49,9,6,1,0,1,yg
128,34,33,2,131,1,13.4,64,3,49,1,0,16,8,8,0,0,0,yg
129,42,41,1,156,6,20,65,3,54,4,0,43,10,9,0,0,0,yr
130,41,42,2,157,4,16.4,65,3,43,0,0,33,15,9,0,0,0,yr
131,35,32,1,191,6,20,66,3,51,1,0,40,17,11,2,2,4,yy
132,32,35,2,192,4,18.5,66,3,46,1,0,39,9,18,0,0,0,yy
133,36,31,1,168,5,20,67,3,59,0,0,38,15,8,1,0,1,yz
134,31,36,2,172,5,18.3,67,3,51,2,1,35,11,11,4,0,4,yz
135,37,41,1,192,3,20,68,3,46,2,0,43,16,13,0,0,0,yg
136,41,37,2,193,4,19.3,68,3,48,1,0,40,16,13,0,2,1,yg
137,42,40,1,162,4,20,69,3,66,2,1,31,17,3,3,0,3,yz
138,40,42,2,166,3,17.3,69,3,46,2,0,34,16,8,3,2,4,yz
139,31,34,1,202,4,20,70,3,42,1,0,45,18,14,2,0,2,yg
140,34,31,2,197,5,20,70,3,41,2,0,47,14,16,0,0,0,yg
141,36,32,1,113,10,17.6,71,3,42,2,0,51,9,5,0,2,1,yy
142,32,36,2,114,5,10.6,71,3,17,0,0,31,9,10,0,2,1,yy
143,35,33,1,168,6,20,72,3,42,3,0,52,13,11,1,2,2,yr
144,33,35,2,169,5,18.1,72,3,41,1,0,42,13,12,2,0,2,yr
145,40,37,1,159,6,20,73,3,52,1,0,46,14,8,0,2,1,yg
146,37,40,2,163,2,18.1,73,3,44,1,0,39,17,8,1,0,1,yg
147,39,38,1,158,4,20,74,3,60,0,0,37,20,3,0,0,0,yr
148,38,39,2,159,6,19.5,74,3,50,2,0,45,17,6,0,2,1,yr
149,33,31,1,221,4,20,75,3,47,4,1,34,21,13,1,0,1,yy
150,31,33,2,221,5,20,75,3,56,1,0,32,16,16,2,2,3,yy
151,36,35,1,171,3,20,76,3,58,1,0,39,14,9,0,2,1,yg
152,35,36,2,175,4,17.5,76,3,45,2,0,35,12,13,0,0,0,yg
153,34,32,1,158,4,20,77,3,47,7,1,45,13,7,0,0,0,yr
154,32,34,2,155,3,20,77,3,54,0,0,44,16,6,1,0,1,yr
155,41,32,1,148,5,20,78,3,60,2,0,40,20,0,2,4,4,yy
156,32,41,2,142,9,20,78,3,53,0,1,47,13,5,2,0,4,yy
157,40,31,1,216,5,20,79,3,39,0,1,46,16,18,2,0,2,yr
158,31,40,2,213,3,20,79,3,45,1,1,39,22,12,3,0,3,yr
159,40,41,1,183,2,20,80,3,54,0,1,40,13,12,2,0,2,yg
160,41,40,2,140,9,20,80,3,52,2,0,49,13,5,1,2,2,yg
161,1,8,1,209,4,20,81,4,49,2,0,38,22,11,0,4,2,yy
162,8,1,2,208,6,20,81,4,45,4,1,36,26,8,0,0,0,yy
163,5,4,1,183,7,20,82,4,61,3,0,32,14,10,0,0,0,yg
164,4,5,2,186,4,17.6,82,4,49,2,0,31,19,9,1,4,3,yg
165,7,2,1,190,4,20,83,4,56,2,0,35,17,10,2,0,2,yy
166,2,7,2,101,10,12.5,83,4,29,0,0,36,7,7,0,4,2,yy
167,3,6,1,203,5,20,84,4,57,2,0,34,17,12,0,4,2,yg
168,6,3,2,184,5,20,84,4,51,3,0,40,16,10,3,0,3,yg
169,1,5,1,184,4,20,85,4,52,3,0,43,14,11,1,6,4,yr
170,5,1,2,151,8,20,85,4,55,3,0,43,12,7,0,0,0,yr
171,7,4,1,184,4,20,86,4,48,0,0,43,19,10,0,0,0,yr
172,4,7,2,185,5,19.5,86,4,57,3,0,35,11,13,0,0,0,yr
173,8,3,1,176,4,20,87,4,58,0,1,38,15,9,0,2,1,yy
174,3,8,2,174,3,20,87,4,56,1,0,38,21,5,1,2,2,yy
175,2,6,1,166,7,20,88,4,46,0,0,47,21,6,0,0,0,yy
176,6,2,2,163,6,20,88,4,59,1,0,37,18,5,0,0,0,yy
177,5,3,1,199,4,20,89,4,51,1,0,38,24,8,0,4,2,yy
178,3,5,2,134,10,19.2,89,4,46,0,0,53,7,10,0,0,0,yy
179,1,2,1,169,6,20,90,4,58,0,0,39,15,8,3,0,3,yr
180,2,1,2,104,10,15.1,90,4,46,1,0,32,8,4,0,0,0,yr
181,6,4,1,121,10,18.4,91,4,49,2,0,46,11,4,0,0,0,yy
182,4,6,2,127,4,12.3,91,4,31,0,0,25,9,10,0,0,0,yy
183,8,7,1,162,5,20,92,4,54,2,0,43,11,10,0,0,0,yg
184,7,8,2,163,2,19.4,92,4,50,1,0,44,14,9,1,0,1,yg
185,5,6,1,195,3,20,93,4,40,1,0,46,23,10,1,0,1,yy
186,6,5,2,192,6,20,93,4,48,1,1,44,12,15,0,2,1,yy
187,1,4,1,163,6,20,94,4,43,2,0,49,20,6,0,0,0,yy
188,4,1,2,160,6,20,94,4,53,1,0,44,18,5,2,2,3,yy
189,7,3,1,140,8,20,95,4,38,2,0,60,11,9,0,0,0,yy
190,3,7,2,143,2,13.1,95,4,38,1,0,20,12,9,0,2,1,yy
191,2,8,1,199,3,20,96,4,55,2,1,35,16,12,0,2,1,yr
192,8,2,2,197,7,20,96,4,52,2,1,37,15,13,0,0,0,yr
193,6,7,1,176,5,20,97,4,55,0,1,40,14,10,2,0,2,yr
194,7,6,2,178,3,18.5,97,4,43,0,0,42,21,8,2,2,3,yr
195,4,2,1,137,10,18.3,98,4,37,1,0,51,17,5,0,0,0,yy
196,2,4,2,141,4,15.3,98,4,40,0,0,34,10,10,0,2,1,yy
197,1,3,1,185,7,20,99,4,43,1,0,47,17,12,0,0,0,yy
198,3,1,2,175,5,20,99,4,61,1,0,34,17,7,2,0,2,yy
199,8,5,1,173,5,20,100,4,52,1,0,44,14,10,2,2,3,yr
200,5,8,2,176,2,18.5,100,4,52,1,0,35,18,8,1,2,2,yr
201,7,1,1,170,4,20,101,4,56,1,0,40,13,10,0,0,0,yg
202,1,7,2,173,3,19.5,101,4,51,2,1,39,21,5,1,0,1,yg
203,5,2,1,200,4,20,102,4,51,2,0,38,19,11,2,2,3,yg
204,2,5,2,150,10,17.2,102,4,37,0,0,46,10,12,0,2,1,yg
205,3,4,1,202,5,20,103,4,45,0,0,44,18,14,0,2,1,yr
206,4,3,2,206,3,19.1,103,4,41,4,0,39,20,12,4,2,5,yr
207,6,1,1,192,7,20,104,4,49,0,0,42,20,10,2,2,3,yy
208,1,6,2,191,6,20,104,4,55,1,0,35,20,9,0,0,0,yy
209,2,3,1,188,4,20,105,4,54,2,0,36,19,9,0,0,0,yg
210,3,2,2,179,2,20,105,4,59,0,0,36,15,10,0,0,0,yg
211,8,4,1,173,5,20,106,4,49,1,0,45,14,11,0,0,0,yy
212,4,8,2,177,9,19.2,106,4,41,1,0,46,17,11,0,0,0,yy
213,5,7,1,146,6,20,107,4,61,1,0,41,10,7,1,0,1,yy
214,7,5,2,152,6,19.5,107,4,51,2,0,45,15,6,1,0,1,yy
215,4,1,1,125,7,20,108,4,47,0,0,56,13,4,2,0,2,yy
216,1,4,2,130,6,15.2,108,4,35,2,0,37,9,9,1,0,1,yy
217,5,7,1,157,7,20,109,4,50,3,0,46,13,8,1,0,1,yg
218,7,5,2,150,8,20,109,4,44,1,0,54,11,10,0,0,0,yg
219,5,4,1,210,5,20,110,4,40,2,0,43,22,13,0,0,0,yr
220,4,5,2,211,3,20,110,4,49,1,0,36,22,12,0,0,0,yr
221,1,4,1,126,10,17.3,111,4,36,2,0,49,11,7,0,0,0,yy
222,4,1,2,128,4,13.5,111,4,30,0,0,31,17,5,0,0,0,yy
223,10,3,1,164,4,20,112,5,49,1,0,47,16,8,0,2,1,yr
224,3,10,2,165,4,19.2,112,5,60,1,0,36,9,11,0,2,1,yr
225,6,8,1,210,4,20,113,5,52,2,0,35,16,15,0,0,0,yg
226,8,6,2,189,6,20,113,5,51,4,0,37,19,9,0,0,0,yg
227,4,2,1,168,4,20,114,5,46,4,1,46,17,7,0,2,1,yr
228,2,4,2,170,6,17.6,114,5,39,1,0,41,17,10,1,0,1,yr
229,5,7,1,153,6,20,115,5,52,0,1,44,21,2,2,0,2,yg
230,7,5,2,156,9,18.3,115,5,47,1,0,41,16,7,0,2,1,yg
231,6,1,1,153,7,20,116,5,51,1,0,47,13,8,0,0,0,yy
232,1,6,2,154,2,15.6,116,5,45,3,0,27,12,9,1,0,1,yy
233,2,9,1,169,8,20,117,5,50,6,0,40,22,3,0,2,1,yg
234,9,2,2,173,4,18.4,117,5,43,0,0,42,16,11,0,0,0,yg
235,8,3,1,182,7,20,118,5,49,0,1,46,11,14,1,2,2,yy
236,3,8,2,188,6,19.3,118,5,40,3,0,45,16,13,0,0,0,yy
237,5,4,1,151,3,20,119,5,65,1,0,38,10,7,1,2,2,yr
238,4,5,2,154,3,17.3,119,5,37,1,0,44,12,11,1,0,1,yr
239,1,3,1,164,2,20,120,5,63,6,0,31,16,4,1,0,1,yg
240,3,1,2,166,4,19.5,120,5,42,3,0,52,14,10,0,4,2,yg
241,9,5,1,181,7,20,121,5,48,2,0,43,17,10,1,0,1,yr
242,5,9,2,76,10,13.5,121,5,33,0,0,41,10,0,2,2,3,yr
243,7,4,1,186,5,20,122,5,58,1,2,33,20,6,4,0,4,yy
244,4,7,2,177,5,20,122,5,59,1,0,35,18,7,2,0,2,yy
245,8,10,1,135,10,17.5,123,5,44,3,0,43,12,6,0,2,1,yr
246,10,8,2,136,3,13.3,123,5,24,1,0,34,11,11,0,0,0,yr
247,7,9,1,184,6,20,124,5,48,2,0,43,19,9,1,2,2,yy
248,9,7,2,179,7,20,124,5,47,3,0,43,19,8,2,0,2,yy
249,6,10,1,161,9,20,125,5,45,3,0,50,12,10,2,0,2,yg
250,10,6,2,165,2,17.2,125,5,44,1,0,36,10,13,1,0,1,yg
251,1,8,1,149,4,20,126,5,59,2,0,41,11,7,0,0,0,yr
252,8,1,2,149,7,20,126,5,53,4,0,44,14,5,2,0,2,yr
253,2,5,1,182,7,20,127,5,48,4,0,41,18,9,0,0,0,yy
254,5,2,2,183,5,18.3,127,5,36,1,1,44,16,13,0,0,0,yy
255,3,6,1,164,4,20,128,5,56,1,0,38,22,3,0,0,0,yr
256,6,3,2,145,7,20,128,5,62,0,0,40,13,5,1,0,1,yr
257,10,1,1,162,7,20,129,5,50,4,0,42,20,4,0,0,0,yy
258,1,10,2,151,7,20,129,5,52,1,0,45,22,1,2,2,3,yy
259,9,4,1,159,6,20,130,5,40,3,0,53,16,8,1,0,1,yg
