id,over_no,balls,runs,wides,noballs,bowler,score,for,inn_id,m_id,t_id,c1,c2,c3,dots,c4,c6,extras,wickets,byes,ball_color
1,1,6,10,0,0,10,10,0,1,1,1,2,0,0,2,2,0,0,0,0,y
2,2,6,10,0,1,12,20,0,1,1,1,1,0,0,4,2,0,1,0,0,y
3,3,6,10,0,0,10,30,0,1,1,1,2,0,0,2,2,0,0,0,0,y
4,4,6,4,0,0,13,34,1,1,1,1,4,0,0,2,0,0,0,1,0,y
5,5,6,4,0,0,12,38,1,1,1,1,4,0,0,2,0,0,0,0,0,y
6,6,6,8,0,0,13,46,1,1,1,1,4,0,0,1,1,0,0,0,0,y
7,7,6,10,0,0,6,56,2,1,1,1,2,0,0,2,2,0,0,1,0,y
8,8,6,11,0,1,11,67,2,1,1,1,4,1,0,1,1,0,1,0,0,y
9,9,6,4,0,0,6,71,3,1,1,1,4,0,0,2,0,0,0,1,0,y
10,10,6,8,1,0,11,79,3,1,1,1,3,0,0,2,1,0,1,0,0,y
11,11,6,10,0,0,6,89,3,1,1,1,4,0,0,1,0,1,0,0,0,y
12,12,6,11,0,0,11,100,3,1,1,1,3,0,0,1,2,0,0,0,0,y
13,13,6,2,0,0,6,102,4,1,1,1,2,0,0,4,0,0,0,1,0,y
14,14,6,8,0,0,13,110,4,1,1,1,4,0,0,1,1,0,0,0,0,y
15,15,6,12,0,0,11,122,4,1,1,1,4,0,0,0,2,0,0,0,0,y
16,16,6,6,0,0,13,128,4,1,1,1,4,1,0,1,0,0,0,0,0,y
17,17,6,10,0,0,12,138,4,1,1,1,4,0,0,1,0,1,0,0,0,y
18,18,6,17,0,0,10,155,4,1,1,1,1,0,0,1,4,0,0,0,0,y
19,19,6,11,0,0,12,166,5,1,1,1,1,0,0,3,1,1,0,1,0,y
20,20,6,13,0,0,10,179,5,1,1,1,1,0,0,2,3,0,0,0,0,y
21,1,6,15,0,0,25,15,0,2,1,1,1,0,0,2,2,1,0,0,0,y
22,2,6,2,0,0,22,17,1,2,1,1,2,0,0,4,0,0,0,1,0,y
23,3,6,7,0,0,25,24,2,2,1,1,1,0,0,4,0,1,0,1,0,y
24,4,6,13,0,0,22,37,2,2,1,1,1,0,0,3,0,2,0,0,0,y
25,5,6,9,0,0,27,46,2,2,1,1,3,0,0,2,0,1,0,0,0,y
26,6,6,7,0,0,22,53,2,2,1,1,3,0,0,2,1,0,0,0,0,y
27,7,6,7,0,0,23,60,2,2,1,1,3,0,0,2,1,0,0,0,0,y
28,8,6,5,0,0,22,65,2,2,1,1,5,0,0,1,0,0,0,0,0,y
29,9,6,8,0,1,23,73,2,2,1,1,3,0,0,3,1,0,1,0,0,y
30,10,6,5,0,0,24,78,2,2,1,1,5,0,0,1,0,0,0,0,0,y
31,11,6,6,1,0,23,84,2,2,1,1,5,0,0,1,0,0,1,0,0,y
32,12,6,5,0,0,19,89,2,2,1,1,5,0,0,1,0,0,0,0,0,y
33,13,6,16,0,0,24,105,3,2,1,1,0,0,0,3,1,2,0,1,0,y
34,14,6,21,0,2,27,126,3,2,1,1,1,1,0,3,1,2,2,0,0,y
35,15,6,7,0,0,23,133,3,2,1,1,3,0,0,2,1,0,0,0,0,y
36,16,6,18,0,0,25,151,3,2,1,1,1,0,1,1,2,1,0,0,0,y
37,17,6,21,0,0,24,172,3,2,1,1,1,0,0,1,2,2,0,0,0,y
38,18,3,8,0,0,25,180,3,2,1,1,0,0,0,1,2,0,0,0,0,y
39,1,6,6,0,0,89,6,1,3,2,1,2,0,0,3,1,0,0,1,0,y
40,2,6,16,0,0,91,22,1,3,2,1,0,0,0,3,1,2,0,0,0,y
41,3,6,14,0,0,89,36,1,3,2,1,0,0,0,3,2,1,0,0,0,y
42,4,6,12,0,0,91,48,1,3,2,1,2,0,0,2,1,1,0,0,0,y
43,5,6,11,0,0,93,59,1,3,2,1,1,0,0,3,1,1,0,0,0,y
44,6,6,2,0,0,87,61,2,3,2,1,2,0,0,4,0,0,0,1,0,y
45,7,6,6,0,0,92,67,2,3,2,1,6,0,0,0,0,0,0,0,0,y
46,8,6,14,1,0,87,81,2,3,2,1,3,0,0,1,1,1,1,0,0,y
47,9,6,6,0,0,92,87,2,3,2,1,6,0,0,0,0,0,0,0,0,y
48,10,6,12,0,0,93,99,2,3,2,1,2,0,0,2,1,1,0,0,0,y
49,11,6,8,0,0,92,107,2,3,2,1,4,0,0,1,1,0,0,0,0,y
50,12,6,11,0,0,94,118,2,3,2,1,3,0,0,1,2,0,0,0,0,y
51,13,6,4,0,0,92,122,2,3,2,1,4,0,0,2,0,0,0,0,0,y
52,14,6,11,0,0,93,133,2,3,2,1,3,0,0,1,2,0,0,0,0,y
53,15,6,5,0,0,87,138,2,3,2,1,5,0,0,1,0,0,0,0,0,y
54,16,6,9,0,0,91,147,3,3,2,1,3,0,0,2,0,1,0,1,0,y
55,17,6,10,0,0,89,157,3,3,2,1,2,0,0,2,2,0,0,0,0,y
56,18,6,10,0,0,91,167,3,3,2,1,2,0,0,2,2,0,0,0,0,y
57,19,6,16,0,0,87,183,3,3,2,1,2,0,0,1,2,1,0,0,0,y
58,20,6,6,0,0,89,189,3,3,2,1,2,0,0,3,1,0,0,0,0,y
59,1,6,7,0,0,52,7,0,4,2,1,3,0,0,2,1,0,0,0,0,y
60,2,6,7,0,0,51,14,0,4,2,1,3,0,0,2,1,0,0,0,0,y
61,3,6,8,0,0,52,22,0,4,2,1,2,0,0,3,0,1,0,0,0,y
62,4,6,8,0,0,51,30,0,4,2,1,2,0,0,3,0,1,0,0,0,y
63,5,6,12,0,0,49,42,0,4,2,1,4,0,0,0,2,0,0,0,0,y
64,6,6,9,0,0,51,51,0,4,2,1,3,1,0,1,1,0,0,0,0,y
65,7,6,9,0,0,53,60,1,4,2,1,1,0,0,3,2,0,0,1,0,y
66,8,6,5,0,0,50,65,1,4,2,1,5,0,0,1,0,0,0,0,0,y
67,9,6,13,0,0,48,78,1,4,2,1,3,0,0,1,1,1,0,0,0,y
68,10,6,1,0,0,50,79,3,4,2,1,1,0,0,5,0,0,0,2,0,y
69,11,6,7,0,0,53,86,3,4,2,1,1,0,0,4,0,1,0,0,0,y
70,12,6,8,0,0,50,94,3,4,2,1,4,0,0,1,1,0,0,0,0,y
71,13,6,9,0,0,48,103,3,4,2,1,5,0,0,0,1,0,0,0,0,y
72,14,6,14,0,1,51,117,3,4,2,1,3,1,0,1,2,0,1,0,0,y
73,15,6,8,0,0,50,125,3,4,2,1,4,0,0,1,1,0,0,0,0,y
74,16,6,16,0,0,52,141,3,4,2,1,2,0,0,1,2,1,0,0,0,y
75,17,6,22,0,0,53,163,3,4,2,1,0,0,0,1,4,1,0,0,0,y
76,18,6,10,0,0,48,173,4,4,2,1,2,0,0,2,2,0,0,1,0,y
77,19,6,0,0,0,52,173,7,4,2,1,0,0,0,6,0,0,0,3,0,y
78,20,6,14,0,0,53,187,7,4,2,1,2,0,0,1,3,0,0,0,0,y
79,1,6,12,0,0,65,12,0,5,3,1,2,0,0,2,1,1,0,0,0,y
80,2,6,7,0,0,66,19,0,5,3,1,3,0,0,2,1,0,0,0,0,y
81,3,6,5,0,0,65,24,1,5,3,1,1,0,0,4,1,0,0,1,0,y
82,4,6,6,0,0,66,30,1,5,3,1,4,1,0,1,0,0,0,0,0,y
83,5,6,4,0,0,61,34,1,5,3,1,4,0,0,2,0,0,0,0,0,y
84,6,6,7,0,0,66,41,1,5,3,1,3,0,0,2,1,0,0,0,0,y
85,7,6,6,1,0,61,47,1,5,3,1,5,0,0,1,0,0,1,0,0,y
86,8,6,11,1,0,67,58,1,5,3,1,4,0,0,1,0,1,1,0,0,y
87,9,6,18,0,0,61,76,1,5,3,1,2,0,0,1,1,2,0,0,0,y
88,10,6,9,0,0,62,85,1,5,3,1,5,0,0,0,1,0,0,0,0,y
89,11,6,16,0,0,67,101,1,5,3,1,2,0,0,1,2,1,0,0,0,y
90,12,6,14,0,0,66,115,1,5,3,1,4,0,0,0,1,1,0,0,0,y
91,13,6,20,0,0,62,135,1,5,3,1,2,0,0,1,0,3,0,0,0,y
92,14,6,10,0,0,64,145,1,5,3,1,4,0,0,1,0,1,0,0,0,y
93,15,6,9,0,0,65,154,1,5,3,1,3,0,0,2,0,1,0,0,0,y
94,16,6,18,0,0,64,172,1,5,3,1,2,0,0,1,1,2,0,0,0,y
95,17,6,13,0,0,65,185,2,5,3,1,1,0,0,3,0,2,0,1,0,y
96,18,6,12,0,0,67,197,2,5,3,1,2,2,0,1,0,1,0,0,0,y
97,19,6,5,0,0,62,202,3,5,3,1,1,0,0,4,1,0,0,1,0,y
98,20,6,13,0,0,67,215,3,5,3,1,3,0,0,1,1,1,0,0,0,y
99,1,6,3,0,0,37,3,1,6,3,1,3,0,0,3,0,0,0,1,0,y
100,2,6,9,0,0,36,12,1,6,3,1,3,0,0,2,0,1,0,0,0,y
101,3,6,3,0,0,37,15,1,6,3,1,3,0,0,3,0,0,0,0,0,y
102,4,6,11,0,0,36,26,1,6,3,1,1,0,0,3,1,1,0,0,0,y
103,5,6,1,0,0,37,27,2,6,3,1,1,0,0,5,0,0,0,1,0,y
104,6,6,12,0,0,35,39,4,6,3,1,0,0,0,4,0,2,0,2,0,y
105,7,6,17,0,0,38,56,4,6,3,1,1,0,0,2,1,2,0,0,0,y
106,8,6,14,0,0,35,70,5,6,3,1,2,0,0,2,0,2,0,1,0,y
107,9,6,7,0,0,33,77,5,6,3,1,3,0,0,2,1,0,0,0,0,y
108,10,6,10,0,0,35,87,5,6,3,1,2,0,0,2,2,0,0,0,0,y
109,11,6,6,0,0,33,93,5,6,3,1,2,0,0,3,1,0,0,0,0,y
110,12,6,8,0,0,36,101,5,6,3,1,4,0,0,1,1,0,0,0,0,y
111,13,6,7,0,0,33,108,6,6,3,1,3,0,0,2,1,0,0,1,0,y
112,14,6,4,0,0,37,112,7,6,3,1,4,0,0,2,0,0,0,1,0,y
113,15,6,1,0,0,38,113,7,6,3,1,1,0,0,5,0,0,0,0,0,y
114,16,6,2,0,0,35,115,8,6,3,1,0,1,0,5,0,0,0,1,0,y
115,17,6,10,0,1,38,125,8,6,3,1,3,0,0,3,0,1,1,0,0,y
116,18,6,2,0,0,36,127,9,6,3,1,2,0,0,4,0,0,0,1,0,y
117,19,6,3,0,0,38,130,9,6,3,1,3,0,0,3,0,0,0,0,0,y
118,20,6,15,0,0,33,145,9,6,3,1,1,2,0,1,1,1,0,0,0,y
119,1,6,9,0,0,79,9,0,7,4,1,3,1,0,1,1,0,0,0,0,y
120,2,6,16,0,0,78,25,0,7,4,1,2,0,0,1,2,1,0,0,0,y
121,3,6,14,1,0,79,39,0,7,4,1,1,0,0,3,0,2,1,0,0,y
122,4,6,10,0,0,80,49,0,7,4,1,2,0,0,2,2,0,0,0,0,y
123,5,6,12,0,0,78,61,0,7,4,1,2,0,0,2,1,1,0,0,0,y
124,6,6,7,0,0,81,68,0,7,4,1,3,0,0,2,1,0,0,0,0,y
125,7,6,2,0,0,75,70,1,7,4,1,2,0,0,4,0,0,0,1,0,y
126,8,6,9,1,0,81,79,1,7,4,1,4,0,0,1,1,0,1,0,0,y
127,9,6,8,0,0,75,87,1,7,4,1,4,0,0,1,1,0,0,0,0,y
128,10,6,13,0,0,77,100,2,7,4,1,1,0,0,2,3,0,0,1,0,y
129,11,6,3,0,0,80,103,3,7,4,1,3,0,0,3,0,0,0,1,0,y
130,12,6,4,0,0,77,107,4,7,4,1,4,0,0,2,0,0,0,1,0,y
131,13,6,8,0,0,80,115,4,7,4,1,4,0,0,1,1,0,0,0,0,y
132,14,6,5,0,0,77,120,5,7,4,1,1,0,0,4,1,0,0,1,0,y
133,15,6,4,0,0,79,125,6,7,4,1,2,1,0,2,0,0,0,1,1,y
134,16,6,9,0,0,77,134,6,7,4,1,5,0,0,0,1,0,0,0,0,y
135,17,6,14,0,0,78,148,6,7,4,1,2,0,0,1,3,0,0,0,0,y
136,18,6,10,0,0,81,158,6,7,4,1,2,0,0,2,2,0,0,0,0,y
137,19,6,14,0,0,80,172,6,7,4,1,2,0,0,1,3,0,0,0,0,y
138,20,6,12,0,0,79,184,7,7,4,1,1,1,1,2,0,1,0,1,0,y
139,1,6,9,1,0,104,9,0,8,4,1,4,0,0,1,1,0,1,0,0,y
140,2,6,7,0,0,103,16,1,8,4,1,3,0,0,2,1,0,0,1,0,y
141,3,6,6,0,0,104,22,1,8,4,1,6,0,0,0,0,0,0,0,0,y
142,4,6,2,0,0,98,24,2,8,4,1,2,0,0,4,0,0,0,1,0,y
143,5,6,8,0,0,104,32,3,8,4,1,4,0,0,1,1,0,0,1,0,y
144,6,6,8,0,0,98,40,3,8,4,1,4,0,0,1,1,0,0,0,0,y
145,7,6,6,1,1,104,46,3,8,4,1,4,0,0,3,0,0,2,0,0,y
146,8,6,7,0,0,106,53,3,8,4,1,3,0,0,2,1,0,0,0,0,y
147,9,6,8,0,0,105,61,3,8,4,1,4,0,0,1,1,0,0,0,0,y
148,10,6,6,1,0,103,67,3,8,4,1,5,0,0,1,0,0,1,0,0,y
149,11,6,16,0,0,105,83,3,8,4,1,2,0,0,1,2,1,0,0,0,y
150,12,6,5,0,0,98,88,3,8,4,1,5,0,0,1,0,0,0,0,0,y
151,13,6,13,0,0,106,101,3,8,4,1,3,0,0,1,1,1,0,0,0,y
152,14,6,3,0,0,105,104,3,8,4,1,3,0,0,3,0,0,0,0,0,y
153,15,6,11,0,0,98,115,3,8,4,1,3,0,0,1,2,0,0,0,0,y
154,16,6,7,0,0,105,122,3,8,4,1,3,0,0,2,1,0,0,0,0,y
155,17,6,15,0,0,106,138,4,8,4,1,1,0,0,1,2,1,0,1,1,y
156,18,6,5,0,0,103,143,6,8,4,1,1,0,0,4,1,0,0,2,0,y
157,19,6,14,0,0,106,157,6,8,4,1,2,1,0,1,1,1,0,0,0,y
158,20,6,11,0,0,103,168,6,8,4,1,3,0,0,1,2,0,0,0,0,y
159,1,6,7,0,1,19,7,0,9,5,1,2,0,0,4,1,0,1,0,0,y
160,2,6,12,0,0,25,19,0,9,5,1,2,0,0,2,1,1,0,0,0,g
161,3,6,9,0,0,19,28,0,9,5,1,3,0,0,2,0,1,0,0,0,y
162,4,6,11,0,0,26,39,0,9,5,1,3,0,0,1,2,0,0,0,0,g
163,5,6,13,0,0,19,52,0,9,5,1,1,1,0,2,1,1,0,0,0,y
164,6,6,2,0,0,26,54,1,9,5,1,2,0,0,4,0,0,0,1,0,g
165,7,6,4,0,0,25,58,1,9,5,1,4,0,0,2,0,0,0,0,0,y
166,8,6,4,0,0,26,62,1,9,5,1,4,0,0,2,0,0,0,0,0,g
167,9,6,5,0,0,24,67,1,9,5,1,5,0,0,1,0,0,0,0,0,y
168,10,6,6,0,0,23,73,1,9,5,1,6,0,0,0,0,0,0,0,0,g
169,11,6,8,0,0,24,81,1,9,5,1,4,0,0,1,1,0,0,0,0,y
170,12,6,8,0,0,23,89,1,9,5,1,4,0,0,1,1,0,0,0,0,g
171,13,6,2,0,0,22,91,3,9,5,1,2,0,0,4,0,0,0,2,0,y
172,14,6,6,0,0,23,97,3,9,5,1,4,1,0,1,0,0,0,0,0,g
173,15,6,13,0,0,22,110,3,9,5,1,3,0,0,1,1,1,0,0,0,y
174,16,6,13,0,0,23,123,3,9,5,1,1,0,0,2,3,0,0,0,0,g
175,17,6,11,0,0,25,134,3,9,5,1,3,1,0,1,0,1,0,0,0,y
176,18,6,5,0,0,26,139,4,9,5,1,1,0,0,4,1,0,0,1,0,g
177,19,6,14,0,0,25,153,4,9,5,1,2,0,0,1,3,0,0,0,0,y
178,20,6,12,0,0,24,165,4,9,5,1,2,1,0,1,2,0,0,0,0,g
179,1,6,2,0,0,65,2,0,10,5,1,2,0,0,4,0,0,0,0,0,y
180,2,6,15,0,0,68,17,0,10,5,1,1,0,0,2,2,1,0,0,0,g
181,3,6,13,0,1,65,30,0,10,5,1,2,0,0,3,1,1,1,0,0,y
182,4,6,9,0,0,68,39,0,10,5,1,1,0,0,3,2,0,0,0,0,g
183,5,6,5,0,0,67,44,1,10,5,1,1,0,0,4,1,0,0,1,0,y
184,6,6,9,0,0,62,53,1,10,5,1,3,0,0,2,0,1,0,0,0,g
185,7,6,2,0,0,67,55,2,10,5,1,2,0,0,4,0,0,0,1,0,y
186,8,6,9,0,0,63,64,2,10,5,1,1,0,0,3,2,0,0,0,0,g
187,9,6,13,0,1,67,77,2,10,5,1,4,0,0,1,2,0,1,0,0,y
188,10,6,10,0,0,68,87,2,10,5,1,2,0,0,2,2,0,0,0,0,g
189,11,6,7,0,0,64,94,2,10,5,1,3,0,0,2,1,0,0,0,0,y
190,12,6,8,0,0,62,102,2,10,5,1,4,0,0,1,1,0,0,0,0,g
191,13,6,10,0,0,64,112,2,10,5,1,4,0,0,1,0,1,0,0,0,y
192,14,6,8,0,0,62,120,2,10,5,1,4,0,0,1,1,0,0,0,0,g
193,15,6,2,0,0,64,122,3,10,5,1,2,0,0,4,0,0,0,1,0,y
194,16,6,3,0,0,65,125,3,10,5,1,3,0,0,3,0,0,0,0,0,g
195,17,6,7,0,0,63,132,4,10,5,1,3,0,0,2,1,0,0,1,0,y
196,18,6,8,0,0,65,140,5,10,5,1,2,0,0,3,0,1,0,1,0,g
197,19,6,7,0,0,67,147,7,10,5,1,1,0,0,4,0,1,0,2,0,y
198,20,6,8,0,0,63,155,7,10,5,1,2,1,0,2,1,0,0,0,0,g
199,1,6,4,0,0,52,4,0,11,6,1,4,0,0,2,0,0,0,0,0,y
200,2,6,16,0,0,51,20,0,11,6,1,2,0,0,1,2,1,0,0,0,y
201,3,6,0,0,0,52,20,1,11,6,1,0,0,0,6,0,0,0,1,0,y
202,4,6,7,0,0,51,27,1,11,6,1,3,0,0,2,1,0,0,0,0,y
203,5,6,2,0,0,53,29,1,11,6,1,2,0,0,4,0,0,0,0,0,y
204,6,6,14,0,0,51,43,1,11,6,1,4,0,0,0,1,1,0,0,0,y
205,7,6,2,0,0,53,45,2,11,6,1,2,0,0,4,0,0,0,1,0,y
206,8,6,9,1,0,48,54,2,11,6,1,4,0,0,1,1,0,1,0,0,y
207,9,6,5,0,0,51,59,2,11,6,1,5,0,0,1,0,0,0,0,0,y
208,10,6,13,0,0,50,72,2,11,6,1,3,0,0,1,1,1,0,0,0,y
209,11,6,5,0,0,48,77,2,11,6,1,5,0,0,1,0,0,0,0,0,y
210,12,6,9,0,0,50,86,2,11,6,1,3,0,0,2,0,1,0,0,0,y
211,13,6,10,0,0,48,96,3,11,6,1,0,2,0,3,0,1,0,1,0,y
212,14,6,17,1,0,50,113,3,11,6,1,2,0,0,1,2,1,1,0,0,y
213,15,6,5,0,0,53,118,3,11,6,1,5,0,0,1,0,0,0,0,0,y
214,16,6,16,0,0,50,135,3,11,6,1,2,0,0,0,2,1,0,0,1,y
215,17,6,4,0,0,52,139,4,11,6,1,0,0,0,5,1,0,0,1,0,y
216,18,6,9,0,0,48,148,4,11,6,1,3,1,0,1,1,0,0,0,0,y
217,19,6,6,0,0,52,154,5,11,6,1,2,0,0,3,1,0,0,1,0,y
218,20,6,13,0,0,53,167,5,11,6,1,3,0,0,1,1,1,0,0,0,y
219,1,6,13,1,0,104,13,0,12,6,1,2,0,0,2,1,1,1,0,0,y
220,2,6,6,0,0,105,19,0,12,6,1,2,0,0,3,1,0,0,0,0,y
221,3,6,10,0,0,103,29,0,12,6,1,2,0,0,2,2,0,0,0,0,y
222,4,6,5,0,0,105,34,1,12,6,1,1,0,0,4,1,0,0,1,0,y
223,5,6,10,0,0,104,44,1,12,6,1,4,0,0,1,0,1,0,0,0,y
224,6,6,8,0,1,105,52,1,12,6,1,3,0,0,3,1,0,1,0,0,y
225,7,6,3,0,0,106,55,1,12,6,1,3,0,0,3,0,0,0,0,0,y
226,8,6,9,0,0,98,64,2,12,6,1,1,0,0,3,2,0,0,1,0,y
227,9,6,6,0,0,106,70,2,12,6,1,2,0,0,3,1,0,0,0,0,y
228,10,6,8,0,0,98,78,2,12,6,1,4,0,0,1,1,0,0,0,0,y
229,11,6,2,0,0,104,80,3,12,6,1,2,0,0,4,0,0,0,1,0,y
230,12,6,16,0,0,105,96,3,12,6,1,2,0,0,1,2,1,0,0,0,y
231,13,6,6,0,0,104,102,5,12,6,1,2,0,0,3,1,0,0,2,0,y
232,14,6,8,0,0,98,110,5,12,6,1,4,0,0,1,1,0,0,0,0,y
233,15,6,3,0,0,103,113,6,12,6,1,3,0,0,3,0,0,0,1,0,y
234,16,6,8,0,0,98,122,6,12,6,1,4,0,0,0,1,0,0,0,1,y
235,17,6,4,0,0,106,126,7,12,6,1,4,0,0,2,0,0,0,1,0,y
236,18,6,10,0,0,103,136,7,12,6,1,2,2,0,1,1,0,0,0,0,y
237,19,6,13,0,0,106,149,7,12,6,1,1,1,0,2,1,1,0,0,0,y
238,20,6,19,0,0,103,168,7,12,6,1,1,0,0,1,3,1,0,0,0,y
239,1,6,14,0,0,37,14,0,13,7,1,0,0,0,3,2,1,0,0,0,y
240,2,6,9,0,0,35,23,0,13,7,1,2,0,1,2,1,0,0,0,0,r
241,3,6,2,0,0,36,25,0,13,7,1,2,0,0,4,0,0,0,0,0,y
242,4,6,6,0,0,35,31,0,13,7,1,2,0,0,3,1,0,0,0,0,r
243,5,6,13,1,0,36,44,0,13,7,1,2,0,0,2,1,1,1,0,0,y
244,6,6,2,0,0,35,46,0,13,7,1,2,0,0,4,0,0,0,0,0,r
245,7,6,11,0,0,37,57,0,13,7,1,3,0,0,1,2,0,0,0,0,y
246,8,6,11,0,0,39,68,0,13,7,1,3,0,0,1,2,0,0,0,0,r
247,9,6,8,0,0,37,76,0,13,7,1,4,0,0,1,1,0,0,0,0,y
248,10,6,8,0,1,39,84,0,13,7,1,3,0,0,3,1,0,1,0,0,r
249,11,6,4,0,0,32,88,1,13,7,1,2,1,0,3,0,0,0,1,0,y
250,12,6,2,0,0,33,90,1,13,7,1,2,0,0,4,0,0,0,0,0,r
251,13,6,5,0,0,32,95,1,13,7,1,5,0,0,1,0,0,0,0,0,y
252,14,6,5,0,0,33,100,1,13,7,1,5,0,0,1,0,0,0,0,0,r
253,15,6,14,0,0,32,114,1,13,7,1,2,0,0,1,3,0,0,0,0,y
254,16,6,10,0,0,33,124,2,13,7,1,2,0,0,2,2,0,0,1,0,r
255,17,6,5,0,0,36,129,3,13,7,1,1,0,0,4,1,0,0,1,0,y
256,18,6,9,0,0,35,138,3,13,7,1,1,2,0,2,1,0,0,0,0,r
257,19,6,18,0,0,36,156,3,13,7,1,0,0,0,2,3,1,0,0,0,y
258,20,6,7,0,0,33,163,4,13,7,1,3,0,0,2,1,0,0,1,0,r
259,1,6,8,0,0,10,8,0,14,7,1,2,0,0,3,0,1,0,0,0,y
260,2,6,4,1,0,12,12,1,14,7,1,3,0,0,3,0,0,1,1,0,r
261,3,6,12,0,0,10,24,1,14,7,1,2,0,0,2,1,1,0,0,0,y
262,4,6,2,0,0,12,26,1,14,7,1,2,0,0,4,0,0,0,0,0,r
263,5,6,4,0,0,10,30,1,14,7,1,4,0,0,2,0,0,0,0,0,y
264,6,6,7,0,0,14,37,1,14,7,1,1,0,0,4,0,1,0,0,0,r
265,7,6,0,0,0,6,37,3,14,7,1,0,0,0,6,0,0,0,2,0,y
266,8,6,4,0,0,13,41,3,14,7,1,4,0,0,2,0,0,0,0,0,r
267,9,6,8,0,0,6,49,3,14,7,1,2,1,0,2,1,0,0,0,0,y
268,10,6,4,0,0,13,53,3,14,7,1,4,0,0,2,0,0,0,0,0,r
269,11,6,8,0,0,6,61,3,14,7,1,4,0,0,1,1,0,0,0,0,y
270,12,6,4,0,0,13,65,4,14,7,1,4,0,0,2,0,0,0,1,0,r
271,13,6,9,0,0,14,74,4,14,7,1,3,0,0,2,0,1,0,0,0,y
272,14,6,6,0,0,6,80,5,14,7,1,2,0,0,3,1,0,0,1,0,r
273,15,6,2,1,0,14,82,7,14,7,1,1,0,0,5,0,0,1,2,0,y
274,16,6,9,0,0,12,91,7,14,7,1,3,0,0,2,0,1,0,0,0,r
275,17,6,7,0,0,14,98,7,14,7,1,3,0,0,2,1,0,0,0,0,y
276,18,6,8,0,0,13,106,7,14,7,1,4,0,0,1,1,0,0,0,0,r
277,19,6,18,0,0,12,124,7,14,7,1,2,0,0,1,1,2,0,0,0,y
278,20,6,8,0,0,10,132,7,14,7,1,2,1,0,2,1,0,0,0,0,r
279,1,6,10,0,0,89,10,1,15,8,1,0,0,0,4,1,1,0,1,0,y
280,2,6,12,0,0,91,22,1,15,8,1,2,0,0,2,1,1,0,0,0,y
281,3,6,2,0,0,89,24,1,15,8,1,2,0,0,4,0,0,0,0,0,y
282,4,6,3,0,0,91,27,2,15,8,1,3,0,0,3,0,0,0,1,0,y
283,5,6,17,0,0,89,44,2,15,8,1,1,0,0,2,1,2,0,0,0,y
284,6,6,2,0,0,91,46,3,15,8,1,2,0,0,4,0,0,0,1,0,y
285,7,6,14,0,0,93,60,3,15,8,1,2,0,0,2,0,2,0,0,0,y
286,8,6,2,0,0,90,62,3,15,8,1,2,0,0,4,0,0,0,0,0,y
287,9,6,13,0,0,92,75,3,15,8,1,3,0,0,1,1,1,0,0,0,y
288,10,6,12,0,0,90,87,3,15,8,1,2,0,0,2,1,1,0,0,0,y
289,11,6,8,0,0,93,95,3,15,8,1,4,0,0,1,1,0,0,0,0,y
290,12,6,14,1,1,92,109,3,15,8,1,2,0,0,3,1,1,2,0,0,y
291,13,6,9,0,1,90,118,3,15,8,1,4,0,0,2,1,0,1,0,0,y
292,14,6,8,0,0,87,126,3,15,8,1,2,0,0,3,0,1,0,0,0,y
293,15,6,3,0,0,93,129,4,15,8,1,3,0,0,3,0,0,0,1,0,y
294,16,6,4,0,0,87,133,4,15,8,1,4,0,0,2,0,0,0,0,0,y
295,17,6,12,0,0,93,145,4,15,8,1,2,0,0,2,1,1,0,0,0,y
296,18,6,13,0,0,89,158,5,15,8,1,1,0,0,3,0,2,0,1,0,y
297,19,6,13,0,0,90,171,6,15,8,1,1,0,0,2,3,0,0,1,0,y
298,20,6,8,0,0,91,179,6,15,8,1,2,0,0,3,0,1,0,0,0,y
299,1,6,12,0,0,78,12,0,16,8,1,2,0,0,2,1,1,0,0,0,y
300,2,6,1,0,0,81,13,1,16,8,1,1,0,0,5,0,0,0,1,0,y
301,3,6,9,0,0,78,22,1,16,8,1,3,0,0,2,0,1,0,0,0,y
302,4,6,6,0,0,81,28,1,16,8,1,2,0,0,3,1,0,0,0,0,y
303,5,6,7,0,0,76,35,1,16,8,1,3,0,0,2,1,0,0,0,0,y
304,6,6,12,0,0,81,47,1,16,8,1,2,0,0,2,1,1,0,0,0,y
305,7,6,13,0,0,76,60,1,16,8,1,3,0,0,1,1,1,0,0,0,y
306,8,6,11,0,0,80,71,1,16,8,1,3,0,0,1,2,0,0,0,0,y
307,9,6,6,0,0,77,77,1,16,8,1,2,0,0,3,1,0,0,0,0,y
308,10,6,4,0,0,80,81,2,16,8,1,4,0,0,2,0,0,0,1,0,y
309,11,6,10,1,0,77,91,2,16,8,1,3,1,0,1,1,0,1,0,0,y
310,12,6,11,0,0,80,102,2,16,8,1,3,0,0,1,2,0,0,0,0,y
311,13,6,5,0,0,77,107,2,16,8,1,5,0,0,1,0,0,0,0,0,y
312,14,6,8,0,0,76,115,2,16,8,1,4,0,0,1,1,0,0,0,0,y
313,15,6,10,0,0,78,125,2,16,8,1,4,0,0,1,0,1,0,0,0,y
314,16,6,2,0,0,76,127,4,16,8,1,2,0,0,4,0,0,0,2,0,y
315,17,6,13,0,0,77,140,4,16,8,1,3,0,0,1,1,1,0,0,0,y
316,18,6,8,0,0,80,148,4,16,8,1,4,0,0,1,1,0,0,0,0,y
