p_id,innings,runs,balls,sr,avg,best,not_outs,dots,c1,c2,c3,c4,c6,c30,c50,c100
79,2,15,12,125,7.5,249,0,6,3,0,0,3,0,0,0,0
80,1,7,6,116.67,0,181,1,3,1,1,0,1,0,0,0,0
81,13,171,124,137.9,24.43,186,6,50,45,2,0,20,7,2,0,0
82,19,352,232,151.72,27.08,277,6,78,100,4,0,28,22,3,1,0
83,15,488,379,128.76,37.54,146,2,135,174,3,0,47,20,7,5,0
84,27,1056,715,147.69,50.29,165,6,240,316,8,0,91,60,13,9,3
85,8,327,244,134.02,65.4,291,3,74,124,3,1,29,13,5,4,0
86,15,298,203,146.8,33.11,194,6,65,90,6,0,28,14,2,1,0
87,27,730,522,139.85,36.5,243,7,172,242,8,0,64,36,11,8,0
88,29,630,474,132.91,23.33,262,2,178,204,5,0,53,34,8,5,0
89,7,39,32,121.88,19.5,214,5,13,13,1,0,3,2,0,0,0
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,6,50,41,121.95,25,218,4,19,12,1,0,9,0,0,0,0
92,2,12,5,240,0,156,2,2,0,0,0,3,0,0,0,0
93,3,9,9,100,9,218,2,4,3,1,0,1,0,0,0,0
94,17,265,181,146.41,26.5,38,7,63,79,0,0,24,15,3,2,0
95,6,123,100,123,20.5,144,0,46,35,2,0,9,8,2,0,0
96,9,246,172,143.02,27.33,7,0,72,62,3,0,16,19,4,4,0
97,12,299,232,128.88,29.9,183,2,90,99,3,0,23,17,3,1,1
98,21,427,295,144.75,23.72,252,3,97,131,1,0,51,15,4,3,0
99,10,256,162,158.02,32,173,2,47,73,2,3,26,11,3,3,0
100,15,450,302,149.01,34.62,235,2,100,138,5,0,26,33,5,4,0
101,8,205,123,166.67,51.25,162,4,36,52,1,1,25,8,3,2,0
102,6,60,45,133.33,12,7,1,18,15,2,1,8,1,0,0,0
103,2,35,25,140,35,23,1,8,11,1,0,4,1,0,0,0
104,2,17,18,94.44,0,23,2,12,3,0,0,2,1,0,0,0
105,10,97,84,115.48,16.17,7,4,35,33,1,0,14,1,1,0,0
106,3,12,12,100,12,245,2,7,2,1,0,2,0,0,0,0
107,1,18,11,163.64,18,23,0,4,4,0,0,2,1,0,0,0
108,2,8,6,133.33,8,23,1,2,2,1,0,1,0,0,0,0
109,15,488,296,164.86,61,61,7,79,137,4,1,55,20,8,5,0
110,9,167,120,139.17,27.83,85,3,34,59,4,0,19,4,2,0,0
111,1,20,9,222.22,0,32,1,3,2,0,0,3,1,0,0,0
112,13,146,90,162.22,29.2,295,8,32,27,5,1,22,3,1,1,0
113,13,317,174,182.18,52.83,150,7,56,63,4,0,30,21,5,2,0
114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,1,34,25,136,0,48,1,7,13,0,1,3,1,1,0,0
117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,4,225,142,158.45,112.5,89,2,44,59,3,0,28,8,3,2,1
120,9,273,205,133.17,34.12,56,1,77,85,2,0,31,10,4,2,0
121,15,391,275,142.18,27.93,136,1,91,124,3,1,39,17,5,3,0
122,9,300,203,147.78,42.86,56,2,60,95,2,1,36,9,5,0,0
123,6,109,68,160.29,109,40,5,17,35,2,0,7,7,1,0,0
124,4,7,10,70,3.5,73,2,4,5,1,0,0,0,0,0,0
125,9,88,66,133.33,29.33,285,6,25,25,2,1,11,2,1,0,0
126,9,105,85,123.53,35,187,6,32,37,1,0,12,3,1,1,0
127,7,210,180,116.67,42,81,2,60,94,3,0,14,9,3,3,0
128,19,672,394,170.56,42,52,3,120,163,5,1,67,38,11,6,0
129,4,70,57,122.81,70,55,3,17,29,2,1,7,1,1,1,0
130,2,9,6,150,0,44,2,3,1,0,0,2,0,0,0,0
131,2,36,33,109.09,0,44,2,14,14,0,0,4,1,1,0,0
132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,2,11,10,110,11,70,1,5,3,0,0,2,0,0,0,0
134,1,5,9,55.56,5,141,0,5,3,1,0,0,0,0,0,0
135,2,52,25,208,52,208,1,7,8,0,0,8,2,1,1,0
136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,16,336,283,118.73,24,239,2,98,136,7,0,33,9,4,2,0
138,14,431,283,152.3,33.15,107,1,97,117,4,0,42,23,5,4,0
139,19,428,257,166.54,30.57,163,5,80,108,5,0,37,27,6,3,0
140,12,200,128,156.25,50,33,8,33,62,6,0,18,9,2,2,0
141,7,82,78,105.13,0,94,7,27,36,7,0,8,0,0,0,0
142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,2,31,30,103.33,15.5,45,0,8,19,0,0,3,0,1,0,0
145,5,124,67,185.07,124,58,4,17,28,1,0,16,5,2,0,0
146,2,8,11,72.73,0,242,2,6,4,0,0,1,0,0,0,0
147,11,496,359,138.16,62,98,3,109,176,6,0,50,18,6,4,0
148,19,615,417,147.48,43.93,49,5,134,188,3,1,64,27,9,3,0
149,4,19,21,90.48,4.75,34,0,8,11,0,0,2,0,0,0,0
150,5,102,60,170,34,65,2,17,24,0,0,18,1,1,1,0
151,4,80,46,173.91,80,62,3,11,22,1,0,8,4,1,1,0
152,3,128,84,152.38,0,62,3,22,44,1,0,10,7,2,1,0
153,1,0,1,0,0,34,0,1,0,0,0,0,0,0,0,0
154,1,8,12,66.67,8,34,0,6,4,2,0,0,0,0,0,0
155,2,58,32,181.25,29,87,0,7,16,0,0,6,3,1,0,0
156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,17,364,267,136.33,24.27,148,2,107,102,3,0,37,18,4,1,0
158,1,46,41,112.2,0,87,1,12,24,0,0,4,1,1,0,0
159,15,439,354,124.01,36.58,154,3,138,153,2,0,42,19,6,5,0
160,2,4,6,66.67,2,50,0,5,0,0,0,1,0,0,0,0
161,6,235,151,155.63,235,50,5,49,63,3,0,25,11,3,3,0
162,15,237,130,182.31,47.4,75,10,42,45,2,0,29,12,2,0,0
163,8,131,88,148.86,43.67,39,5,34,29,1,2,19,3,2,0,0
164,3,25,25,100,25,241,2,11,7,5,0,2,0,0,0,0
165,1,10,12,83.33,10,50,0,4,6,2,0,0,0,0,0,0
166,1,14,12,116.67,0,39,1,5,4,1,0,2,0,0,0,0
167,2,27,32,84.38,0,39,2,15,13,2,0,1,1,0,0,0
168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,2,52,54,96.3,26,75,0,20,28,1,0,4,1,1,0,0
171,10,467,339,137.76,58.38,278,2,113,157,3,0,46,20,6,5,0
172,18,468,353,132.58,26,47,0,140,142,3,0,44,24,6,3,0
173,21,443,284,155.99,26.06,169,4,89,125,5,0,41,24,7,1,0
174,6,76,61,124.59,15.2,63,1,23,28,0,0,6,4,0,0,0
175,3,22,27,81.48,7.33,88,0,12,12,1,0,2,0,0,0,0
176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,8,157,113,138.94,52.33,281,5,35,57,1,0,11,9,1,1,0
178,2,28,21,133.33,14,160,0,10,6,0,0,4,1,0,0,0
179,2,12,11,109.09,12,88,1,5,4,0,0,2,0,0,0,0
180,8,240,162,148.15,34.29,109,1,55,72,1,0,19,15,1,1,1
181,1,0,2,0,0,83,0,2,0,0,0,0,0,0,0,0
182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,2,13,13,100,13,83,1,6,5,0,0,2,0,0,0,0
184,13,433,316,137.03,39.36,74,2,106,147,5,0,36,22,5,4,0
185,8,280,208,134.62,35,287,0,63,106,2,0,26,11,4,3,0
186,5,137,90,152.22,45.67,42,2,27,40,3,1,13,6,2,1,0
187,5,183,135,135.56,61,80,2,44,63,3,0,18,7,3,2,0
188,10,212,136,155.88,35.33,103,4,47,50,6,0,24,9,2,1,1
189,2,62,44,140.91,31,68,0,14,20,1,0,7,2,1,1,0
190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,1,13,9,144.44,0,80,1,3,3,1,0,2,0,0,0,0
194,14,485,332,146.08,40.42,158,2,112,146,4,1,43,26,6,4,0
195,20,750,424,176.89,57.69,117,7,116,190,3,0,68,47,10,6,2
196,6,191,117,163.25,38.2,117,1,40,49,1,0,11,16,2,2,0
197,12,240,160,150,24,272,2,68,54,2,2,14,20,3,2,0
198,1,3,6,50,3,178,0,3,3,0,0,0,0,0,0,0
199,7,100,98,102.04,14.29,156,0,40,46,0,0,9,3,1,0,0
200,6,64,49,130.61,12.8,120,1,26,12,0,0,7,4,0,0,0
201,11,287,177,162.15,35.88,209,3,54,81,1,0,21,20,4,2,0
202,1,8,5,160,0,105,1,2,2,0,0,0,1,0,0,0
203,2,11,5,220,0,274,2,1,2,0,1,0,1,0,0,0
204,7,105,73,143.84,15,219,0,38,19,0,0,5,11,0,0,0
205,9,200,128,156.25,33.33,119,3,45,52,1,0,17,13,2,1,0
206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,1,0,6,0,0,104,0,6,0,0,0,0,0,0,0,0
208,5,160,109,146.79,40,140,1,38,49,0,1,9,12,3,1,0
209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,5,175,117,149.57,43.75,103,1,44,45,1,0,17,10,1,1,1
211,4,168,120,140,42,152,0,38,56,2,0,18,6,3,2,0
212,4,53,36,147.22,26.5,143,2,16,9,3,0,5,3,1,0,0
213,1,18,15,120,18,118,0,7,4,2,0,1,1,0,0,0
214,1,1,2,50,0,118,1,1,1,0,0,0,0,0,0,0
215,4,66,61,108.2,16.5,141,0,25,28,0,0,5,3,0,0,0
216,19,538,371,145.01,29.89,273,1,135,152,5,0,49,30,6,4,0
217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,3,84,70,120,42,108,1,14,48,2,0,2,4,1,1,0
219,4,43,33,130.3,14.33,125,1,17,9,0,0,4,3,1,0,0
220,7,90,59,152.54,22.5,113,3,14,30,3,0,9,3,1,0,0
221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,14,276,220,125.45,19.71,243,0,80,100,1,2,27,10,4,1,0
223,2,19,12,158.33,0,124,2,4,3,2,0,3,0,0,0,0
224,1,12,4,300,0,100,1,1,0,0,0,3,0,0,0,0
225,2,61,41,148.78,61,189,1,17,15,0,0,4,5,1,1,0
226,1,9,3,300,0,167,1,0,1,0,0,2,0,0,0,0
227,10,408,283,144.17,51,99,2,85,138,6,0,33,21,6,4,1
228,13,221,158,139.87,24.56,223,4,65,53,6,0,24,10,3,2,0
229,3,15,17,88.24,7.5,160,1,9,5,1,0,2,0,0,0,0
