june,134,dale steyn,bow,r,r,fast
oct,135,washington sundar,all,l,r,off
june,136,gurkeerat singh mann,bat,r,0,0
sept,137,suryakumar yadav,bat,r,0,0
july,138,ishan kishan,bat,l,0,0
may,139,kieron pollard,all,r,r,fast
mar,140,krunal pandya,all,l,l,off
aug,141,rahul chahar,bow,r,r,leg
aug,142,lasith malinga,bow,r,r,fast
june,143,mitchell mcclenaghan,bow,l,l,fast
dec,144,yuvraj singh,all,l,l,off
jan,145,ben cutting,all,r,r,fast
nov,146,alzzari joseph,bow,r,r,fast
june,147,ajinkya rahane,bat,r,0,0
nov,148,sanju samson,bat,r,0,0
mar,149,rahul tripathi,bat,r,0,0
nov,150,riyan parag,bat,r,r,off
oct,151,krishnappa gowtham,all,r,r,off
sept,152,shreyas gopal,all,r,r,leg
oct,153,jaydev unadkat,bow,r,l,fast
dec,154,dhawal kulkarni,bow,r,r,fast
june,155,stuart binny,all,r,r,fast
oct,156,varun aaron,bow,r,r,fast
aug,157,liam livingstone,bat,r,0,0
jan,158,ashton turner,all,r,r,off
feb,159,mayank agarwal,bat,r,0,0
oct,160,sarfaraz khan,bat,r,0,0
dec,161,mandeep singh,bat,r,0,0
june,162,sam curran,all,l,l,fast
sept,163,ravi ashwin,bow,r,r,off
mar,164,mujeeb ur rahman,bow,r,r,off
dec,165,ankit rajpoot,bow,r,r,fast
sept,166,murugan ashwin,bow,r,r,leg
dec,167,andrew tye,bow,r,r,fast
mar,168,hardus viljoen,all,r,r,fast
feb,169,arshdeep singh,bow,l,l,fast
dec,170,karun nair,bat,r,0,0
nov,171,prithwi shaw,bat,r,0,0
dec,172,shikhar dhawan,bat,l,0,0
dec,173,shreyas iyer,bat,r,0,0
july,174,colin ingram,bat,l,0,0
aug,175,sherfane rutherford,bat,l,0,0
feb,176,keamo paul,all,r,r,fast
jan,177,axar patel,all,l,l,off
nov,178,amit mishra,bow,r,r,leg
sept,179,ishant sharma,bow,r,r,fast
mar,180,colin munro,bat,l,r,fast
aug,181,sandeep lamichanne,bow,r,r,leg
oct,182,hanuma vihari,bat,r,0,0
may,183,rahul tehwatia,all,l,r,leg
apr,184,chris lynn,bat,r,0,0
sept,185,shubman gill,bat,r,0,0
nov,186,robin utthappa,bat,r,0,0
dec,187,nitish rana,bat,l,r,off
may,188,sunil narine,all,l,r,off
dec,189,piyush chawla,bow,l,r,leg
feb,190,prasidh krishna,bow,r,r,fast
oct,191,harry gurney,bow,l,l,fast
aug,192,prithviraj,bow,l,l,fast
oct,193,rinku singh,bat,l,0,0
jan,194,alex hales,bat,r,0,0
dec,195,matthew wade,bat,l,0,0
dec,196,ben mcdormutt,bat,r,0,0
oct,197,rilee rossouw,bat,l,0,0
jan,198,josh hazlewood,bow,l,l,fast
feb,199,moises henriques,all,r,r,fast
feb,200,darren bravo,bat,l,0,0
feb,201,shoaib malik,all,r,r,off
feb,202,isuru udana,bow,r,l,fast
feb,203,kane richardson,bow,r,r,0
nov,204,andre fletcher,bat,r,0,0
dec,205,tim seifert,bat,r,0,0
mar,206,tom curran,all,r,r,fast
apr,207,callum ferguson,bat,r,0,0
dec,208,travis head,bat,l,r,off
apr,209,hayden walsh,bow,r,r,leg
nov,210,dinesh chandimal,bat,r,0,0
mar,211,joe denly,bat,r,0,0
may,212,dan christian,all,r,r,fast
may,213,james pattinson,bow,l,r,fast
may,214,natarajan,bow,l,l,fast
june,215,josua philippe,bat,r,0,0
june,216,mohammad rizwan,bat,r,0,0
july,217,chris green,bow,r,r,off
aug,218,darcy short,bat,l,0,0
aug,219,kusal perera,bat,l,0,0
dec,220,kyle jamieson,bow,r,r,fast
aug,221,varun chakravarthy,bow,r,r,off
sept,222,dawid malan,bat,l,0,0
sept,223,jhye richardson,bow,r,r,fast
oct,224,daniel sams,all,r,l,fast
oct,225,chris jordan,all,r,r,fast
oct,226,ashton agar,bow,l,l,off
nov,227,tom banton,bat,r,0,0
sept,228,de silva,bat,r,r,off
nov,229,anrich nortje,bow,r,r,fast
nov,230,haris rauf,bow,r,r,fast
dec,231,glenn phillips,bat,r,0,0
dec,232,sohail tanvir,all,l,l,fast
feb,233,sean abbott,bow,r,r,fast
apr,234,akeal hossain,bow,l,l,off
apr,235,sikandar raza,all,r,r,off
feb,236,tabraiz shamsi,bow,l,l,leg
may,237,temba bavuma,bat,r,0,0
aug,238,reeza hendricks,bat,r,0,0
mar,239,gunathilaka,bat,l,r,off
oct,240,haider ali,bat,r,0,0
jan,241,faheem ashraf,all,l,r,fast
aug,242,sharjeel khan,bat,l,0,0
mar,243,mohammad nawaz,bow,l,l,off
apr,244,mohammad hasnain,bow,r,r,fast
july,245,devon conway,bat,l,0,0
may,246,daryll mitchell,all,r,r,fast
apr,247,adam milne,bow,r,r,fast
jan,248,lendl simmons,bat,r,0,0
jan,249,obed mccoy,bow,l,l,fast
feb,250,fidel edwards,bow,r,r,fast
dec,251,george linde,bow,l,l,off
july,252,heinrich klaasen,bat,r,0,0
june,253,sam billings,bat,r,0,0
mar,254,mohammad mithun,bat,r,0,0
aug,255,mohammad naim,bat,l,0,0
sept,256,afif hossain,all,l,r,off
apr,257,taskin ahmed,bow,r,r,fast
june,258,shoriful islam,bow,l,l,fast
dec,259,mahedi hassan,bow,r,r,off
dec,260,nasum ahmed,bow,l,l,off
oct,261,mitchel marsh,all,r,r,fast
may,262,pathum nissanka,bat,r,0,0
feb,263,kusal mendis,bat,r,0,0
oct,264,bhanuka rajapaksa,bat,l,0,0
sept,265,dasun shanaka,all,r,r,fast
june,266,charith asalanka,bat,l,0,0
may,267,chamika karunaratne,all,r,r,fast
july,268,wanindu hasaranga,bow,r,r,leg
aug,269,maheesh theekshana,bow,r,r,off
jan,270,dushmantha chameera,bow,r,r,fast
feb,271,lahiru kumara,bow,r,r,fast
aug,272,tristan stubbs,bat,r,0,0
aug,273,najmul hossain shanto,bat,l,0,0
nov,274,nurul hassan,bat,r,0,0
oct,275,hasan mahmud,bow,r,r,fast
apr,276,finn allen,bat,r,0,0
oct,277,shan masood,bat,l,0,0
sept,278,iftikhar ahmed,bat,r,r,off
oct,279,asif ali,bat,r,0,0
aug,280,mohammad wasim jr,bow,r,r,fast
feb,281,naseem shah,bow,r,r,fast
july,282,wayne parnell,all,l,l,fast
sept,283,kyle mayers,all,l,r,fast
dec,284,brandon king,bat,r,0,0
july,285,rovman powell,bat,r,r,fast
nov,286,odean smith,all,r,r,fast
sept,287,harry brook,bat,r,0,0
nov,288,rahmanullah gurbaz,bat,r,0,0
mar,289,hazratullah zazai,bat,l,0,0
