id,inn_id,m_id,t_id,b1,b2,runs,balls,c1,c2,c3,dots,c4,c6,sr,for_wicket,unbeaten,bow_team,bat_team,b1s,b2s,b1b,b2b
56,9,5,1,63,59,27,16,5,1,0,5,5,0,168.75,5,0,2,5,21,6,11,5
57,10,5,1,17,16,39,25,6,0,0,13,5,2,156,1,4.1,5,2,21,17,15,11
58,10,5,1,18,16,14,12,4,0,0,6,1,1,116.67,2,6.1,5,2,7,7,8,4
59,10,5,1,19,16,69,51,26,0,0,16,9,1,135.29,3,14.4,5,2,42,26,30,22
60,10,5,1,20,16,10,14,6,0,0,7,1,0,71.43,4,16.6,5,2,7,3,8,6
61,10,5,1,22,16,0,1,0,0,0,1,0,0,0,5,17.1,5,2,0,0,1,0
62,10,5,1,21,16,8,6,2,0,0,3,0,1,133.33,6,18.1,5,2,1,7,1,5
63,10,5,1,21,23,7,5,1,0,0,3,0,1,140,7,18.6,5,2,0,7,2,3
64,10,5,1,24,23,8,6,2,1,0,2,1,0,133.33,8,0,5,2,1,7,2,4
65,11,6,1,96,97,20,17,6,0,0,8,2,1,117.65,1,2.5,4,8,3,17,9,8
66,11,6,1,98,97,24,22,10,0,0,9,2,1,109.09,2,6.3,4,8,14,10,8,14
67,11,6,1,99,97,42,34,21,0,0,9,2,2,123.53,3,12.1,4,8,25,16,17,17
68,11,6,1,99,100,53,25,9,2,0,6,5,3,212,4,16.2,4,8,26,25,13,12
69,11,6,1,102,100,10,13,4,1,0,7,1,0,76.92,5,18.3,4,8,7,3,9,4
70,11,6,1,101,100,18,9,4,0,0,2,2,1,200,6,0,4,8,7,11,5,4
71,12,6,1,43,44,30,20,7,0,0,8,4,1,150,1,3.2,8,4,21,8,13,7
72,12,6,1,45,44,33,26,10,0,0,12,4,1,126.92,2,7.4,8,4,24,8,20,7
73,12,6,1,46,44,17,19,9,0,0,8,2,0,89.47,3,10.5,8,4,13,4,11,8
74,12,6,1,47,44,20,9,2,0,0,3,3,1,222.22,4,12.2,8,4,15,5,4,5
75,12,6,1,47,48,1,3,1,0,0,2,0,0,33.33,5,12.5,8,4,0,1,2,1
76,12,6,1,49,48,11,10,7,0,0,2,1,0,110,6,14.3,8,4,8,3,6,4
77,12,6,1,49,50,10,10,5,0,0,4,1,0,100,7,16.1,8,4,6,3,7,3
78,12,6,1,51,50,46,23,8,3,0,5,5,2,200,8,0,8,4,15,31,9,14
79,13,7,1,1,2,88,66,25,1,1,27,11,2,133.33,1,10.6,3,1,42,44,31,36
80,13,7,1,3,2,26,25,14,0,0,8,3,0,104,2,15.1,3,1,16,10,15,10
81,13,7,1,3,4,15,9,3,0,0,3,3,0,166.67,3,16.4,3,1,2,13,2,7
82,13,7,1,3,6,34,20,4,2,0,8,5,1,170,4,19.6,3,1,28,6,14,6
84,14,7,1,29,28,11,11,4,0,0,6,0,1,100,1,1.5,1,3,8,2,5,6
85,14,7,1,29,30,26,27,10,0,0,14,1,2,96.3,2,6.2,1,3,15,11,14,13
86,14,7,1,31,30,0,2,0,0,0,2,0,0,0,3,6.4,1,3,0,0,2,0
87,14,7,1,34,30,27,31,17,1,0,11,2,0,87.1,4,11.5,1,3,11,16,16,15
88,14,7,1,34,32,14,10,4,0,0,4,1,1,140,5,13.3,1,3,1,13,2,8
89,14,7,1,34,33,3,6,2,0,0,4,0,0,50,6,14.3,1,3,1,1,5,1
90,14,7,1,35,33,0,2,0,0,0,2,0,0,0,7,14.5,1,3,0,0,2,0
91,14,7,1,36,33,51,31,15,1,0,8,4,3,164.52,8,0,1,3,21,30,17,14
92,15,8,1,71,72,0,1,0,0,0,1,0,0,0,1,0.1,7,6,0,0,1,0
93,15,8,1,73,72,27,23,7,0,0,12,2,2,117.39,2,3.6,7,6,13,14,10,13
94,15,8,1,74,72,18,10,2,0,0,5,1,2,180,3,5.4,7,6,4,14,3,7
95,15,8,1,82,72,83,54,24,0,0,21,5,6,153.7,4,14.4,7,6,33,47,26,30
96,15,8,1,82,75,30,18,8,0,0,6,1,3,166.67,5,17.4,7,6,4,26,6,12
97,15,8,1,82,77,13,8,1,0,0,4,3,0,162.5,6,18.6,7,6,1,12,1,7
98,15,8,1,82,76,8,6,2,0,0,3,0,1,133.33,7,0,7,6,7,1,4,2
99,16,8,1,83,84,13,11,3,0,0,6,1,1,118.18,1,1.5,6,7,1,12,4,7
100,16,8,1,85,84,64,44,18,0,0,16,7,3,145.45,2,9.1,6,7,14,50,19,25
101,16,8,1,86,84,49,38,24,1,0,8,4,1,128.95,3,15.3,6,7,24,24,19,19
102,16,8,1,88,84,0,1,0,0,0,1,0,0,0,4,15.4,6,7,0,0,1,0
103,16,8,1,87,84,44,26,14,1,0,5,4,2,169.23,5,0,6,7,19,25,13,13
104,17,9,1,2,1,0,2,0,0,0,2,0,0,0,1,0.2,5,1,0,0,0,2
105,17,9,1,2,3,11,13,7,0,0,5,1,0,84.62,2,2.3,5,1,6,5,6,7
106,17,9,1,4,3,1,5,1,0,0,4,0,0,20,3,3.2,5,1,1,0,5,0
107,17,9,1,7,3,8,9,2,0,0,6,0,1,88.89,4,4.5,5,1,7,1,6,3
108,17,9,1,7,6,26,17,4,1,0,8,2,2,152.94,5,7.4,5,1,19,7,9,8
109,17,9,1,8,6,51,35,20,0,0,9,3,3,145.71,6,13.3,5,1,34,16,21,14
110,17,9,1,9,6,69,39,20,2,0,7,8,2,176.92,7,0,5,1,29,39,20,19
111,18,9,1,56,69,0,5,0,0,0,5,0,0,0,1,0.5,1,5,0,0,5,0
112,18,9,1,58,69,20,13,4,0,0,6,1,2,153.85,2,2.6,1,5,6,14,6,7
113,18,9,1,59,69,0,1,0,0,0,1,0,0,0,3,3.1,1,5,0,0,0,1
114,18,9,1,59,60,8,14,4,0,0,9,1,0,57.14,4,5.3,1,5,2,6,4,10
115,18,9,1,59,62,0,1,0,0,0,1,0,0,0,5,5.4,1,5,0,0,0,1
116,18,9,1,59,63,3,7,3,0,0,4,0,0,42.86,6,6.5,1,5,1,2,1,6
117,18,9,1,59,64,64,46,22,0,0,15,6,3,139.13,7,14.3,1,5,28,36,20,26
118,18,9,1,59,66,20,18,7,0,0,8,3,0,111.11,8,17.3,1,5,7,12,6,12
119,18,9,1,59,65,15,14,9,0,0,4,0,1,107.14,9,19.5,1,5,10,5,6,8
120,18,9,1,59,67,0,1,0,0,0,1,0,0,0,10,0,1,5,0,0,0,1
121,19,10,1,43,44,118,75,34,1,0,23,11,6,157.33,1,12.3,6,4,50,66,34,41
122,19,10,1,45,44,91,45,21,1,0,7,14,2,202.22,2,0,6,4,69,22,32,13
123,20,10,1,71,72,82,65,35,2,0,19,9,1,126.15,1,10.5,4,6,42,39,30,36
124,20,10,1,71,73,1,2,1,0,0,1,0,0,50,2,11.1,4,6,0,1,0,2
125,20,10,1,71,74,13,9,5,0,0,2,2,0,144.44,3,12.4,4,6,3,10,3,6
